subject,predicate,object,source,confidence
37031,population,68353,US Census Bureau,1.0
37033,rdf:type,Location,US Census Bureau,1.0
37033,locationType,county,US Census Bureau,1.0
37033,name,Caswell,US Census Bureau,1.0
37033,state,North Carolina,US Census Bureau,1.0
37033,population,22747,US Census Bureau,1.0
37035,rdf:type,Location,US Census Bureau,1.0
37035,locationType,county,US Census Bureau,1.0
37035,name,Catawba,US Census Bureau,1.0
37035,state,North Carolina,US Census Bureau,1.0
37035,population,161011,US Census Bureau,1.0
37037,rdf:type,Location,US Census Bureau,1.0
37037,locationType,county,US Census Bureau,1.0
37037,name,Chatham,US Census Bureau,1.0
37037,state,North Carolina,US Census Bureau,1.0
37037,population,76754,US Census Bureau,1.0
37039,rdf:type,Location,US Census Bureau,1.0
37039,locationType,county,US Census Bureau,1.0
37039,name,Cherokee,US Census Bureau,1.0
37039,state,North Carolina,US Census Bureau,1.0
37039,population,28868,US Census Bureau,1.0
37041,rdf:type,Location,US Census Bureau,1.0
37041,locationType,county,US Census Bureau,1.0
37041,name,Chowan,US Census Bureau,1.0
37041,state,North Carolina,US Census Bureau,1.0
37041,population,13835,US Census Bureau,1.0
37043,rdf:type,Location,US Census Bureau,1.0
37043,locationType,county,US Census Bureau,1.0
37043,name,Clay,US Census Bureau,1.0
37043,state,North Carolina,US Census Bureau,1.0
37043,population,11186,US Census Bureau,1.0
37045,rdf:type,Location,US Census Bureau,1.0
37045,locationType,county,US Census Bureau,1.0
37045,name,Cleveland,US Census Bureau,1.0
37045,state,North Carolina,US Census Bureau,1.0
37045,population,99527,US Census Bureau,1.0
37047,rdf:type,Location,US Census Bureau,1.0
37047,locationType,county,US Census Bureau,1.0
37047,name,Columbus,US Census Bureau,1.0
37047,state,North Carolina,US Census Bureau,1.0
37047,population,50827,US Census Bureau,1.0
37049,rdf:type,Location,US Census Bureau,1.0
37049,locationType,county,US Census Bureau,1.0
37049,name,Craven,US Census Bureau,1.0
37049,state,North Carolina,US Census Bureau,1.0
37049,population,101098,US Census Bureau,1.0
37051,rdf:type,Location,US Census Bureau,1.0
37051,locationType,county,US Census Bureau,1.0
37051,name,Cumberland,US Census Bureau,1.0
37051,state,North Carolina,US Census Bureau,1.0
37051,population,335207,US Census Bureau,1.0
37053,rdf:type,Location,US Census Bureau,1.0
37053,locationType,county,US Census Bureau,1.0
37053,name,Currituck,US Census Bureau,1.0
37053,state,North Carolina,US Census Bureau,1.0
37053,population,28616,US Census Bureau,1.0
37055,rdf:type,Location,US Census Bureau,1.0
37055,locationType,county,US Census Bureau,1.0
37055,name,Dare,US Census Bureau,1.0
37055,state,North Carolina,US Census Bureau,1.0
37055,population,37160,US Census Bureau,1.0
37057,rdf:type,Location,US Census Bureau,1.0
37057,locationType,county,US Census Bureau,1.0
37057,name,Davidson,US Census Bureau,1.0
37057,state,North Carolina,US Census Bureau,1.0
37057,population,169498,US Census Bureau,1.0
37059,rdf:type,Location,US Census Bureau,1.0
37059,locationType,county,US Census Bureau,1.0
37059,name,Davie,US Census Bureau,1.0
37059,state,North Carolina,US Census Bureau,1.0
37059,population,43030,US Census Bureau,1.0
37061,rdf:type,Location,US Census Bureau,1.0
37061,locationType,county,US Census Bureau,1.0
37061,name,Duplin,US Census Bureau,1.0
37061,state,North Carolina,US Census Bureau,1.0
37061,population,49312,US Census Bureau,1.0
37063,rdf:type,Location,US Census Bureau,1.0
37063,locationType,county,US Census Bureau,1.0
37063,name,Durham,US Census Bureau,1.0
37063,state,North Carolina,US Census Bureau,1.0
37063,population,325101,US Census Bureau,1.0
37065,rdf:type,Location,US Census Bureau,1.0
37065,locationType,county,US Census Bureau,1.0
37065,name,Edgecombe,US Census Bureau,1.0
37065,state,North Carolina,US Census Bureau,1.0
37065,population,49067,US Census Bureau,1.0
37067,rdf:type,Location,US Census Bureau,1.0
37067,locationType,county,US Census Bureau,1.0
37067,name,Forsyth,US Census Bureau,1.0
37067,state,North Carolina,US Census Bureau,1.0
37067,population,383739,US Census Bureau,1.0
37069,rdf:type,Location,US Census Bureau,1.0
37069,locationType,county,US Census Bureau,1.0
37069,name,Franklin,US Census Bureau,1.0
37069,state,North Carolina,US Census Bureau,1.0
37069,population,69680,US Census Bureau,1.0
37071,rdf:type,Location,US Census Bureau,1.0
37071,locationType,county,US Census Bureau,1.0
37071,name,Gaston,US Census Bureau,1.0
37071,state,North Carolina,US Census Bureau,1.0
37071,population,228972,US Census Bureau,1.0
37073,rdf:type,Location,US Census Bureau,1.0
37073,locationType,county,US Census Bureau,1.0
37073,name,Gates,US Census Bureau,1.0
37073,state,North Carolina,US Census Bureau,1.0
37073,population,10509,US Census Bureau,1.0
37075,rdf:type,Location,US Census Bureau,1.0
37075,locationType,county,US Census Bureau,1.0
37075,name,Graham,US Census Bureau,1.0
37075,state,North Carolina,US Census Bureau,1.0
37075,population,8047,US Census Bureau,1.0
37077,rdf:type,Location,US Census Bureau,1.0
37077,locationType,county,US Census Bureau,1.0
37077,name,Granville,US Census Bureau,1.0
37077,state,North Carolina,US Census Bureau,1.0
37077,population,61161,US Census Bureau,1.0
37079,rdf:type,Location,US Census Bureau,1.0
37079,locationType,county,US Census Bureau,1.0
37079,name,Greene,US Census Bureau,1.0
37079,state,North Carolina,US Census Bureau,1.0
37079,population,20407,US Census Bureau,1.0
37081,rdf:type,Location,US Census Bureau,1.0
37081,locationType,county,US Census Bureau,1.0
37081,name,Guilford,US Census Bureau,1.0
37081,state,North Carolina,US Census Bureau,1.0
37081,population,539557,US Census Bureau,1.0
37083,rdf:type,Location,US Census Bureau,1.0
37083,locationType,county,US Census Bureau,1.0
37083,name,Halifax,US Census Bureau,1.0
37083,state,North Carolina,US Census Bureau,1.0
37083,population,48772,US Census Bureau,1.0
37085,rdf:type,Location,US Census Bureau,1.0
37085,locationType,county,US Census Bureau,1.0
37085,name,Harnett,US Census Bureau,1.0
37085,state,North Carolina,US Census Bureau,1.0
37085,population,134718,US Census Bureau,1.0
37087,rdf:type,Location,US Census Bureau,1.0
37087,locationType,county,US Census Bureau,1.0
37087,name,Haywood,US Census Bureau,1.0
37087,state,North Carolina,US Census Bureau,1.0
37087,population,62152,US Census Bureau,1.0
37089,rdf:type,Location,US Census Bureau,1.0
37089,locationType,county,US Census Bureau,1.0
37089,name,Henderson,US Census Bureau,1.0
37089,state,North Carolina,US Census Bureau,1.0
37089,population,116469,US Census Bureau,1.0
37091,rdf:type,Location,US Census Bureau,1.0
37091,locationType,county,US Census Bureau,1.0
37091,name,Hertford,US Census Bureau,1.0
37091,state,North Carolina,US Census Bureau,1.0
37091,population,21633,US Census Bureau,1.0
37093,rdf:type,Location,US Census Bureau,1.0
37093,locationType,county,US Census Bureau,1.0
37093,name,Hoke,US Census Bureau,1.0
37093,state,North Carolina,US Census Bureau,1.0
37093,population,52612,US Census Bureau,1.0
37095,rdf:type,Location,US Census Bureau,1.0
37095,locationType,county,US Census Bureau,1.0
37095,name,Hyde,US Census Bureau,1.0
37095,state,North Carolina,US Census Bureau,1.0
37095,population,4636,US Census Bureau,1.0
37097,rdf:type,Location,US Census Bureau,1.0
37097,locationType,county,US Census Bureau,1.0
37097,name,Iredell,US Census Bureau,1.0
37097,state,North Carolina,US Census Bureau,1.0
37097,population,187839,US Census Bureau,1.0
37099,rdf:type,Location,US Census Bureau,1.0
37099,locationType,county,US Census Bureau,1.0
37099,name,Jackson,US Census Bureau,1.0
37099,state,North Carolina,US Census Bureau,1.0
37099,population,42388,US Census Bureau,1.0
37101,rdf:type,Location,US Census Bureau,1.0
37101,locationType,county,US Census Bureau,1.0
37101,name,Johnston,US Census Bureau,1.0
37101,state,North Carolina,US Census Bureau,1.0
37101,population,219042,US Census Bureau,1.0
37103,rdf:type,Location,US Census Bureau,1.0
37103,locationType,county,US Census Bureau,1.0
37103,name,Jones,US Census Bureau,1.0
37103,state,North Carolina,US Census Bureau,1.0
37103,population,9263,US Census Bureau,1.0
37105,rdf:type,Location,US Census Bureau,1.0
37105,locationType,county,US Census Bureau,1.0
37105,name,Lee,US Census Bureau,1.0
37105,state,North Carolina,US Census Bureau,1.0
37105,population,63560,US Census Bureau,1.0
37107,rdf:type,Location,US Census Bureau,1.0
37107,locationType,county,US Census Bureau,1.0
37107,name,Lenoir,US Census Bureau,1.0
37107,state,North Carolina,US Census Bureau,1.0
37107,population,55071,US Census Bureau,1.0
37109,rdf:type,Location,US Census Bureau,1.0
37109,locationType,county,US Census Bureau,1.0
37109,name,Lincoln,US Census Bureau,1.0
37109,state,North Carolina,US Census Bureau,1.0
37109,population,87933,US Census Bureau,1.0
37111,rdf:type,Location,US Census Bureau,1.0
37111,locationType,county,US Census Bureau,1.0
37111,name,McDowell,US Census Bureau,1.0
37111,state,North Carolina,US Census Bureau,1.0
37111,population,44629,US Census Bureau,1.0
37113,rdf:type,Location,US Census Bureau,1.0
37113,locationType,county,US Census Bureau,1.0
37113,name,Macon,US Census Bureau,1.0
37113,state,North Carolina,US Census Bureau,1.0
37113,population,37088,US Census Bureau,1.0
37115,rdf:type,Location,US Census Bureau,1.0
37115,locationType,county,US Census Bureau,1.0
37115,name,Madison,US Census Bureau,1.0
37115,state,North Carolina,US Census Bureau,1.0
37115,population,21414,US Census Bureau,1.0
37117,rdf:type,Location,US Census Bureau,1.0
37117,locationType,county,US Census Bureau,1.0
37117,name,Martin,US Census Bureau,1.0
37117,state,North Carolina,US Census Bureau,1.0
37117,population,21992,US Census Bureau,1.0
37119,rdf:type,Location,US Census Bureau,1.0
37119,locationType,county,US Census Bureau,1.0
37119,name,Mecklenburg,US Census Bureau,1.0
37119,state,North Carolina,US Census Bureau,1.0
37119,population,1115403,US Census Bureau,1.0
37121,rdf:type,Location,US Census Bureau,1.0
37121,locationType,county,US Census Bureau,1.0
37121,name,Mitchell,US Census Bureau,1.0
37121,state,North Carolina,US Census Bureau,1.0
37121,population,14989,US Census Bureau,1.0
37123,rdf:type,Location,US Census Bureau,1.0
37123,locationType,county,US Census Bureau,1.0
37123,name,Montgomery,US Census Bureau,1.0
37123,state,North Carolina,US Census Bureau,1.0
37123,population,25839,US Census Bureau,1.0
37125,rdf:type,Location,US Census Bureau,1.0
37125,locationType,county,US Census Bureau,1.0
37125,name,Moore,US Census Bureau,1.0
37125,state,North Carolina,US Census Bureau,1.0
37125,population,100759,US Census Bureau,1.0
37127,rdf:type,Location,US Census Bureau,1.0
37127,locationType,county,US Census Bureau,1.0
37127,name,Nash,US Census Bureau,1.0
37127,state,North Carolina,US Census Bureau,1.0
37127,population,95015,US Census Bureau,1.0
37129,rdf:type,Location,US Census Bureau,1.0
37129,locationType,county,US Census Bureau,1.0
37129,name,New Hanover,US Census Bureau,1.0
37129,state,North Carolina,US Census Bureau,1.0
37129,population,228134,US Census Bureau,1.0
37131,rdf:type,Location,US Census Bureau,1.0
37131,locationType,county,US Census Bureau,1.0
37131,name,Northampton,US Census Bureau,1.0
37131,state,North Carolina,US Census Bureau,1.0
37131,population,17528,US Census Bureau,1.0
37133,rdf:type,Location,US Census Bureau,1.0
37133,locationType,county,US Census Bureau,1.0
37133,name,Onslow,US Census Bureau,1.0
37133,state,North Carolina,US Census Bureau,1.0
37133,population,203686,US Census Bureau,1.0
37135,rdf:type,Location,US Census Bureau,1.0
37135,locationType,county,US Census Bureau,1.0
37135,name,Orange,US Census Bureau,1.0
37135,state,North Carolina,US Census Bureau,1.0
37135,population,145919,US Census Bureau,1.0
37137,rdf:type,Location,US Census Bureau,1.0
37137,locationType,county,US Census Bureau,1.0
37137,name,Pamlico,US Census Bureau,1.0
37137,state,North Carolina,US Census Bureau,1.0
37137,population,12317,US Census Bureau,1.0
37139,rdf:type,Location,US Census Bureau,1.0
37139,locationType,county,US Census Bureau,1.0
37139,name,Pasquotank,US Census Bureau,1.0
37139,state,North Carolina,US Census Bureau,1.0
37139,population,40454,US Census Bureau,1.0
37141,rdf:type,Location,US Census Bureau,1.0
37141,locationType,county,US Census Bureau,1.0
37141,name,Pender,US Census Bureau,1.0
37141,state,North Carolina,US Census Bureau,1.0
37141,population,61592,US Census Bureau,1.0
37143,rdf:type,Location,US Census Bureau,1.0
37143,locationType,county,US Census Bureau,1.0
37143,name,Perquimans,US Census Bureau,1.0
37143,state,North Carolina,US Census Bureau,1.0
37143,population,13053,US Census Bureau,1.0
37145,rdf:type,Location,US Census Bureau,1.0
37145,locationType,county,US Census Bureau,1.0
37145,name,Person,US Census Bureau,1.0
37145,state,North Carolina,US Census Bureau,1.0
37145,population,39131,US Census Bureau,1.0
37147,rdf:type,Location,US Census Bureau,1.0
37147,locationType,county,US Census Bureau,1.0
37147,name,Pitt,US Census Bureau,1.0
37147,state,North Carolina,US Census Bureau,1.0
37147,population,171196,US Census Bureau,1.0
37149,rdf:type,Location,US Census Bureau,1.0
37149,locationType,county,US Census Bureau,1.0
37149,name,Polk,US Census Bureau,1.0
37149,state,North Carolina,US Census Bureau,1.0
37149,population,19538,US Census Bureau,1.0
37151,rdf:type,Location,US Census Bureau,1.0
37151,locationType,county,US Census Bureau,1.0
37151,name,Randolph,US Census Bureau,1.0
37151,state,North Carolina,US Census Bureau,1.0
37151,population,144403,US Census Bureau,1.0
37153,rdf:type,Location,US Census Bureau,1.0
37153,locationType,county,US Census Bureau,1.0
37153,name,Richmond,US Census Bureau,1.0
37153,state,North Carolina,US Census Bureau,1.0
37153,population,43149,US Census Bureau,1.0
37155,rdf:type,Location,US Census Bureau,1.0
37155,locationType,county,US Census Bureau,1.0
37155,name,Robeson,US Census Bureau,1.0
37155,state,North Carolina,US Census Bureau,1.0
37155,population,117573,US Census Bureau,1.0
37157,rdf:type,Location,US Census Bureau,1.0
37157,locationType,county,US Census Bureau,1.0
37157,name,Rockingham,US Census Bureau,1.0
37157,state,North Carolina,US Census Bureau,1.0
37157,population,91209,US Census Bureau,1.0
37159,rdf:type,Location,US Census Bureau,1.0
37159,locationType,county,US Census Bureau,1.0
37159,name,Rowan,US Census Bureau,1.0
37159,state,North Carolina,US Census Bureau,1.0
37159,population,147067,US Census Bureau,1.0
37161,rdf:type,Location,US Census Bureau,1.0
37161,locationType,county,US Census Bureau,1.0
37161,name,Rutherford,US Census Bureau,1.0
37161,state,North Carolina,US Census Bureau,1.0
37161,population,64680,US Census Bureau,1.0
37163,rdf:type,Location,US Census Bureau,1.0
37163,locationType,county,US Census Bureau,1.0
37163,name,Sampson,US Census Bureau,1.0
37163,state,North Carolina,US Census Bureau,1.0
37163,population,59317,US Census Bureau,1.0
37165,rdf:type,Location,US Census Bureau,1.0
37165,locationType,county,US Census Bureau,1.0
37165,name,Scotland,US Census Bureau,1.0
37165,state,North Carolina,US Census Bureau,1.0
37165,population,34222,US Census Bureau,1.0
37167,rdf:type,Location,US Census Bureau,1.0
37167,locationType,county,US Census Bureau,1.0
37167,name,Stanly,US Census Bureau,1.0
37167,state,North Carolina,US Census Bureau,1.0
37167,population,62723,US Census Bureau,1.0
37169,rdf:type,Location,US Census Bureau,1.0
37169,locationType,county,US Census Bureau,1.0
37169,name,Stokes,US Census Bureau,1.0
37169,state,North Carolina,US Census Bureau,1.0
37169,population,44696,US Census Bureau,1.0
37171,rdf:type,Location,US Census Bureau,1.0
37171,locationType,county,US Census Bureau,1.0
37171,name,Surry,US Census Bureau,1.0
37171,state,North Carolina,US Census Bureau,1.0
37171,population,71429,US Census Bureau,1.0
37173,rdf:type,Location,US Census Bureau,1.0
37173,locationType,county,US Census Bureau,1.0
37173,name,Swain,US Census Bureau,1.0
37173,state,North Carolina,US Census Bureau,1.0
37173,population,14130,US Census Bureau,1.0
37175,rdf:type,Location,US Census Bureau,1.0
37175,locationType,county,US Census Bureau,1.0
37175,name,Transylvania,US Census Bureau,1.0
37175,state,North Carolina,US Census Bureau,1.0
37175,population,33131,US Census Bureau,1.0
37177,rdf:type,Location,US Census Bureau,1.0
37177,locationType,county,US Census Bureau,1.0
37177,name,Tyrrell,US Census Bureau,1.0
37177,state,North Carolina,US Census Bureau,1.0
37177,population,3389,US Census Bureau,1.0
37179,rdf:type,Location,US Census Bureau,1.0
37179,locationType,county,US Census Bureau,1.0
37179,name,Union,US Census Bureau,1.0
37179,state,North Carolina,US Census Bureau,1.0
37179,population,240109,US Census Bureau,1.0
37181,rdf:type,Location,US Census Bureau,1.0
37181,locationType,county,US Census Bureau,1.0
37181,name,Vance,US Census Bureau,1.0
37181,state,North Carolina,US Census Bureau,1.0
37181,population,42492,US Census Bureau,1.0
37183,rdf:type,Location,US Census Bureau,1.0
37183,locationType,county,US Census Bureau,1.0
37183,name,Wake,US Census Bureau,1.0
37183,state,North Carolina,US Census Bureau,1.0
37183,population,1132103,US Census Bureau,1.0
37185,rdf:type,Location,US Census Bureau,1.0
37185,locationType,county,US Census Bureau,1.0
37185,name,Warren,US Census Bureau,1.0
37185,state,North Carolina,US Census Bureau,1.0
37185,population,18803,US Census Bureau,1.0
37187,rdf:type,Location,US Census Bureau,1.0
37187,locationType,county,US Census Bureau,1.0
37187,name,Washington,US Census Bureau,1.0
37187,state,North Carolina,US Census Bureau,1.0
37187,population,11051,US Census Bureau,1.0
37189,rdf:type,Location,US Census Bureau,1.0
37189,locationType,county,US Census Bureau,1.0
37189,name,Watauga,US Census Bureau,1.0
37189,state,North Carolina,US Census Bureau,1.0
37189,population,54540,US Census Bureau,1.0
37191,rdf:type,Location,US Census Bureau,1.0
37191,locationType,county,US Census Bureau,1.0
37191,name,Wayne,US Census Bureau,1.0
37191,state,North Carolina,US Census Bureau,1.0
37191,population,117480,US Census Bureau,1.0
37193,rdf:type,Location,US Census Bureau,1.0
37193,locationType,county,US Census Bureau,1.0
37193,name,Wilkes,US Census Bureau,1.0
37193,state,North Carolina,US Census Bureau,1.0
37193,population,66125,US Census Bureau,1.0
37195,rdf:type,Location,US Census Bureau,1.0
37195,locationType,county,US Census Bureau,1.0
37195,name,Wilson,US Census Bureau,1.0
37195,state,North Carolina,US Census Bureau,1.0
37195,population,78667,US Census Bureau,1.0
37197,rdf:type,Location,US Census Bureau,1.0
37197,locationType,county,US Census Bureau,1.0
37197,name,Yadkin,US Census Bureau,1.0
37197,state,North Carolina,US Census Bureau,1.0
37197,population,37280,US Census Bureau,1.0
37199,rdf:type,Location,US Census Bureau,1.0
37199,locationType,county,US Census Bureau,1.0
37199,name,Yancey,US Census Bureau,1.0
37199,state,North Carolina,US Census Bureau,1.0
37199,population,18538,US Census Bureau,1.0
population,rdf:type,Indicator,schema_definition,1.0
population,category,Demographics,schema_definition,1.0
population,name,Total Population,schema_definition,1.0
population,description,Demographics indicator: Total Population (Source: Census),schema_definition,1.0
median_income,rdf:type,Indicator,schema_definition,1.0
median_income,category,Economic,schema_definition,1.0
median_income,name,Median Household Income,schema_definition,1.0
median_income,description,Economic indicator: Median Household Income (Source: Census),schema_definition,1.0
poverty_rate,rdf:type,Indicator,schema_definition,1.0
poverty_rate,category,Economic,schema_definition,1.0
poverty_rate,name,Poverty Rate,schema_definition,1.0
poverty_rate,description,Economic indicator: Poverty Rate (Source: Census),schema_definition,1.0
unemployment_rate,rdf:type,Indicator,schema_definition,1.0
unemployment_rate,category,Economic,schema_definition,1.0
unemployment_rate,name,Unemployment Rate,schema_definition,1.0
unemployment_rate,description,Economic indicator: Unemployment Rate (Source: Census),schema_definition,1.0
child_poverty_pct,rdf:type,Indicator,schema_definition,1.0
child_poverty_pct,category,Economic,schema_definition,1.0
child_poverty_pct,name,Child Poverty Rate,schema_definition,1.0
child_poverty_pct,description,Economic indicator: Child Poverty Rate (Source: CHR),schema_definition,1.0
education_bachelor_pct,rdf:type,Indicator,schema_definition,1.0
education_bachelor_pct,category,Education,schema_definition,1.0
education_bachelor_pct,name,Bachelor's Degree or Higher,schema_definition,1.0
education_bachelor_pct,description,Education indicator: Bachelor's Degree or Higher (Source: Census),schema_definition,1.0
some_college_pct,rdf:type,Indicator,schema_definition,1.0
some_college_pct,category,Education,schema_definition,1.0
some_college_pct,name,Some College,schema_definition,1.0
some_college_pct,description,Education indicator: Some College (Source: CHR),schema_definition,1.0
obesity_pct,rdf:type,Indicator,schema_definition,1.0
obesity_pct,category,Health,schema_definition,1.0
obesity_pct,name,Adult Obesity Prevalence,schema_definition,1.0
obesity_pct,description,Health indicator: Adult Obesity Prevalence (Source: CHR),schema_definition,1.0
diabetes_pct,rdf:type,Indicator,schema_definition,1.0
diabetes_pct,category,Health,schema_definition,1.0
diabetes_pct,name,Diabetes Prevalence,schema_definition,1.0
diabetes_pct,description,Health indicator: Diabetes Prevalence (Source: CHR),schema_definition,1.0
physical_inactivity_pct,rdf:type,Indicator,schema_definition,1.0
physical_inactivity_pct,category,Health,schema_definition,1.0
physical_inactivity_pct,name,Physical Inactivity,schema_definition,1.0
physical_inactivity_pct,description,Health indicator: Physical Inactivity (Source: CHR),schema_definition,1.0
excessive_drinking_pct,rdf:type,Indicator,schema_definition,1.0
excessive_drinking_pct,category,Health,schema_definition,1.0
excessive_drinking_pct,name,Excessive Drinking,schema_definition,1.0
excessive_drinking_pct,description,Health indicator: Excessive Drinking (Source: CHR),schema_definition,1.0
mental_health_days,rdf:type,Indicator,schema_definition,1.0
mental_health_days,category,Health,schema_definition,1.0
mental_health_days,name,Poor Mental Health Days,schema_definition,1.0
mental_health_days,description,Health indicator: Poor Mental Health Days (Source: CHR),schema_definition,1.0
physical_health_days,rdf:type,Indicator,schema_definition,1.0
physical_health_days,category,Health,schema_definition,1.0
physical_health_days,name,Poor Physical Health Days,schema_definition,1.0
physical_health_days,description,Health indicator: Poor Physical Health Days (Source: CHR),schema_definition,1.0
uninsured_pct,rdf:type,Indicator,schema_definition,1.0
uninsured_pct,category,Access,schema_definition,1.0
uninsured_pct,name,Uninsured Rate,schema_definition,1.0
uninsured_pct,description,Access indicator: Uninsured Rate (Source: CHR),schema_definition,1.0
pm25,rdf:type,Indicator,schema_definition,1.0
pm25,category,Environment,schema_definition,1.0
pm25,name,PM2.5 Concentration,schema_definition,1.0
pm25,description,Environment indicator: PM2.5 Concentration (Source: CHR),schema_definition,1.0
m_37001_population,rdf:type,Measurement,Census,0.95
m_37001_population,location,37001,Census,0.95
m_37001_population,indicator,population,Census,0.95
m_37001_population,value,171779,Census,0.95
m_37001_population,unit,count,Census,0.95
m_37001_median_income,rdf:type,Measurement,Census,0.95
m_37001_median_income,location,37001,Census,0.95
m_37001_median_income,indicator,median_income,Census,0.95
m_37001_median_income,value,60866,Census,0.95
m_37001_median_income,unit,USD,Census,0.95
m_37001_poverty_rate,rdf:type,Measurement,Census,0.95
m_37001_poverty_rate,location,37001,Census,0.95
m_37001_poverty_rate,indicator,poverty_rate,Census,0.95
m_37001_poverty_rate,value,14.217677713492524,Census,0.95
m_37001_poverty_rate,unit,percent,Census,0.95
m_37001_unemployment_rate,rdf:type,Measurement,Census,0.95
m_37001_unemployment_rate,location,37001,Census,0.95
m_37001_unemployment_rate,indicator,unemployment_rate,Census,0.95
m_37001_unemployment_rate,value,4.990706641576523,Census,0.95
m_37001_unemployment_rate,unit,percent,Census,0.95
m_37001_unemployment_pct,rdf:type,Measurement,CHR,0.75
m_37001_unemployment_pct,location,37001,CHR,0.75
m_37001_unemployment_pct,indicator,unemployment_pct,CHR,0.75
m_37001_unemployment_pct,value,3.394925088,CHR,0.75
m_37001_unemployment_pct,unit,percent,CHR,0.75
m_37001_child_poverty_pct,rdf:type,Measurement,CHR,0.75
m_37001_child_poverty_pct,location,37001,CHR,0.75
m_37001_child_poverty_pct,indicator,child_poverty_pct,CHR,0.75
m_37001_child_poverty_pct,value,16.0,CHR,0.75
m_37001_child_poverty_pct,unit,percent,CHR,0.75
m_37001_education_bachelor_pct,rdf:type,Measurement,Census,0.95
m_37001_education_bachelor_pct,location,37001,Census,0.95
m_37001_education_bachelor_pct,indicator,education_bachelor_pct,Census,0.95
m_37001_education_bachelor_pct,value,25.169339231407246,Census,0.95
m_37001_education_bachelor_pct,unit,percent,Census,0.95
m_37001_some_college_pct,rdf:type,Measurement,CHR,0.75
m_37001_some_college_pct,location,37001,CHR,0.75
m_37001_some_college_pct,indicator,some_college_pct,CHR,0.75
m_37001_some_college_pct,value,61.525093841,CHR,0.75
m_37001_some_college_pct,unit,percent,CHR,0.75
m_37001_obesity_pct,rdf:type,Measurement,CHR,0.75
